name,title_firm,city_context,linkedin_url
Aaron Jacobson,Partner - New Enterprise Associates,Menlo Park,https://www.linkedin.com/in/aaronejacobson
Andrew Schoen,Partner - New Enterprise Associates,Menlo Park,https://www.linkedin.com/in/andrewaschoen/
Jeff Immelt,Venture Partner - New Enterprise Associates,Menlo Park,https://www.linkedin.com/in/jeffimmelt/
Steve Loughlin,Partner - Accel,Palo Alto,https://www.linkedin.com/in/steveloughlin/
Peter Fenton,General Partner - Benchmark,Palo Alto,https://www.linkedin.com/in/peter-fenton-0b117
Jeff Brody,Partner - Redpoint Ventures,Menlo Park,https://www.linkedin.com/in/brodyjeff/
Chris Moore,Partner - Redpoint Ventures,Menlo Park,https://www.linkedin.com/in/moorechris/
Meera Clark,Partner - Redpoint Ventures,Menlo Park,https://www.linkedin.com/in/meera-clark-95b38077
Jordan Segall,Partner - Redpoint Ventures,Menlo Park,https://www.linkedin.com/in/jordan-segall-7b938632/
John Malloy,General Partner - BlueRun Ventures,Menlo Park,https://www.linkedin.com/in/malloyjohn/
Byron Deeter,Partner - Bessemer Venture Partners,Menlo Park,https://www.linkedin.com/in/byrondeeter
Jeff Epstein,Operating Partner - Bessemer Venture Partners,Menlo Park,https://www.linkedin.com/in/jeffepstein1
David Cowan,Partner - Bessemer Venture Partners,Menlo Park,https://www.linkedin.com/in/davidjcowan/
Brian Feinstein,Partner - Bessemer Venture Partners,Menlo Park,https://www.linkedin.com/in/brianfeinstein
Charles Birnbaum,Partner - Bessemer Venture Partners,Menlo Park,https://www.linkedin.com/in/charlesbirnbaum
Sean Jacobsohn,Partner - Norwest Venture Partners,Menlo Park,https://www.linkedin.com/in/seanjacobsohn
Promod Haque,Senior Managing Partner - Norwest Venture Partners,Menlo Park,https://www.linkedin.com/in/promodhaque
Sonya Brown,General Partner - Norwest Venture Partners,Menlo Park,https://www.linkedin.com/in/brownsonya
Randy Glein,Partner - DFJ Growth,Menlo Park,https://www.linkedin.com/in/randyglein
Josh Stein,Partner - Threshold Ventures,Menlo Park,https://www.linkedin.com/in/joshsteinvc
Ashu Garg,General Partner - Foundation Capital,Menlo Park,https://www.linkedin.com/in/ashugargvc
William Davidow,Founder - Mohr Davidow Ventures,Menlo Park,https://www.linkedin.com/in/william-davidow/
Patrick S. Chung,Managing General Partner - Xfund,Palo Alto,https://www.linkedin.com/in/pschung/
Ramneek Gupta,Founder - PruVen Capital,Palo Alto,https://www.linkedin.com/in/ramneekgupta
Lu Zhang,Founder & Managing Partner - Fusion Fund,Palo Alto,https://www.linkedin.com/in/luzhangvc
Jon Callaghan,Co-Founder - True Ventures,Palo Alto,https://www.linkedin.com/in/joncallaghan
Matt Caspari,Managing Partner - Alumni Ventures,Palo Alto,https://www.linkedin.com/in/deeptechvc/
Calvin Chin,Managing Partner - E14 Fund,Palo Alto,https://www.linkedin.com/in/calvinwuchin
Aman Verjee,Founder & General Partner - Practical Venture Capital,Palo Alto,https://www.linkedin.com/in/aman-verjee/
Bradley Horowitz,General Partner - Wisdom Ventures,Palo Alto,https://www.linkedin.com/in/bradleyhorowitz
Jason Pontin,General Partner - DCVC,Palo Alto,https://www.linkedin.com/in/jasonpontin
Ho Nam,Managing Director - Altos Ventures,Palo Alto,https://www.linkedin.com/in/honam
Alex Lazovsky,Partner - Palo Alto Growth Capital,Palo Alto,https://www.linkedin.com/in/alex-lazovsky/
John Wilson,Partner - Palisades Venture Partners,Palo Alto,https://www.linkedin.com/in/john-wilson-2190182b
Gaurav Garg,Founding Partner - Wing Venture Capital,Atherton,https://www.linkedin.com/in/gagarg/
David Krane,CEO & Managing Partner - GV,Atherton,https://www.linkedin.com/in/davidkrane
Benjamin Narasin,Founder - Tenacity Venture Capital,Atherton,https://www.linkedin.com/in/bennarasin
Sreekanth Ravi,Investor & Entrepreneur,Atherton,https://www.linkedin.com/in/sreekanthravi/
Dean Foster,Investor,Atherton,https://www.linkedin.com/in/dean-foster-0436a47/
Prabhu Goel,Investor,Atherton,https://www.linkedin.com/in/prabhu-goel-b373798/
Sam Schillace,Angel Investor,Portola Valley,https://www.linkedin.com/in/schillace
Lise Buyer,Investor / Class V Group,Portola Valley,https://www.linkedin.com/in/lisebuyer/
Dale Pfau,Venture Capital / PE,Portola Valley,https://www.linkedin.com/in/dale-pfau-45152b1/
Joy Fairbanks,Founder - Fairbanks Venture Advisors,Portola Valley,https://www.linkedin.com/in/joy-fairbanks-b94395185/
Andrew Farquharson,Managing Director - InCube Ventures,Portola Valley,https://www.linkedin.com/in/andrewfarq/
